b01,b02,payoff,xs
6.1803608454147785,3.81963915458522,13819.020925855742,0.618036084541478
0.0,10.0,13819.147018297905,0.0
0.1,9.9,13819.146007752697,0.010000000000001279
0.2,9.8,13819.14496416956,0.020000000000002557
0.30000000000000004,9.7,13819.143887896445,0.0299999999999991
0.4,9.6,13819.142779276399,0.039999999999999786
0.5,9.5,13819.141638647741,0.05
0.6000000000000001,9.4,13819.140466344015,0.060000000000000574
0.7000000000000001,9.3,13819.139262694336,0.07000000000000033
0.8,9.2,13819.138028023202,0.07999999999999957
0.9,9.1,13819.136762650744,0.08999999999999966
1.0,9.0,13819.13546689277,0.1
1.1,8.9,13819.134141060946,0.11000000000000017
1.2000000000000002,8.8,13819.132785462662,0.12000000000000025
1.3,8.7,13819.131400401477,0.1299999999999997
1.4000000000000001,8.6,13819.129986176815,0.1399999999999999
1.5,8.5,13819.128543084315,0.15
1.6,8.4,13819.127071415902,0.16000000000000003
1.7000000000000002,8.3,13819.125571459692,0.17000000000000023
1.8,8.2,13819.124043500353,0.1799999999999999
1.9000000000000001,8.1,13819.12248781887,0.19
2.0,8.0,13819.120904692967,0.2
2.1,7.9,13819.119294396885,0.21000000000000005
2.2,7.8,13819.11765720176,0.21999999999999995
2.3000000000000003,7.699999999999999,13819.115993375384,0.22999999999999993
2.4000000000000004,7.6,13819.114303182583,0.24
2.5,7.5,13819.112586885141,0.25
2.6,7.4,13819.1108447419,0.26000000000000006
2.7,7.3,13819.109077008838,0.27
2.8000000000000003,7.199999999999999,13819.107283939204,0.2799999999999999
2.9000000000000004,7.1,13819.105465783596,0.29
3.0,7.0,13819.103622789833,0.3
3.1,6.9,13819.101755203405,0.31000000000000005
3.2,6.8,13819.099863267244,0.32
3.3000000000000003,6.699999999999999,13819.097947221908,0.32999999999999996
3.4000000000000004,6.6,13819.096007305701,0.33999999999999997
3.5,6.5,13819.094043754669,0.35
3.6,6.4,13819.092056802763,0.36000000000000004
3.7,6.3,13819.090046681773,0.37
3.8000000000000003,6.199999999999999,13819.088013621584,0.38000000000000006
3.9000000000000004,6.1,13819.08595785014,0.38999999999999996
4.0,6.0,13819.083879593554,0.4
4.1000000000000005,5.8999999999999995,13819.081779076141,0.41000000000000014
4.2,5.8,13819.079656520535,0.42
4.3,5.7,13819.077512147758,0.43
4.4,5.6,13819.075346177313,0.44
4.5,5.5,13819.073158827237,0.44999999999999996
4.6000000000000005,5.3999999999999995,13819.070950314126,0.46
4.7,5.3,13819.068720853349,0.47
4.800000000000001,5.199999999999999,13819.066470658949,0.48000000000000004
4.9,5.1,13819.064199943823,0.49000000000000005
5.0,5.0,13819.061908919874,0.5
5.1000000000000005,4.8999999999999995,13819.05959779784,0.51
5.2,4.8,13819.057266787637,0.5199999999999999
5.300000000000001,4.699999999999999,13819.054916098275,0.53
5.4,4.6,13819.05254593804,0.54
5.5,4.5,13819.050156514411,0.5499999999999999
5.6000000000000005,4.3999999999999995,13819.04774803436,0.56
5.7,4.3,13819.045320704194,0.57
5.800000000000001,4.199999999999999,13819.04287472984,0.5800000000000001
5.9,4.1,13819.040410316866,0.59
6.0,4.0,13819.037927670415,0.6
6.1000000000000005,3.8999999999999995,13819.035426995495,0.61
6.2,3.8,13819.032908496998,0.62
6.300000000000001,3.6999999999999993,13819.030372379666,0.6300000000000001
6.4,3.5999999999999996,13819.02781884834,0.64
6.5,3.5,13819.025248108008,0.6499999999999999
6.6000000000000005,3.3999999999999995,13819.022660363773,0.66
6.7,3.3,13819.020055821045,0.67
6.800000000000001,3.1999999999999993,13819.017434685684,0.68
6.9,3.0999999999999996,13819.014797163956,0.69
7.0,3.0,13819.01214346276,0.7
7.1000000000000005,2.8999999999999995,13819.009473789594,0.7100000000000001
7.2,2.8,13819.006788352668,0.72
7.300000000000001,2.6999999999999993,13819.004087361163,0.7300000000000001
7.4,2.5999999999999996,13819.00137102517,0.74
7.5,2.5,13818.998639555815,0.75
7.6000000000000005,2.3999999999999995,13818.995893165385,0.76
7.7,2.3,13818.993132067377,0.7699999999999999
7.800000000000001,2.1999999999999993,13818.990356476783,0.78
7.9,2.0999999999999996,13818.987566609976,0.79
8.0,2.0,13818.984762684962,0.8
8.1,1.9000000000000004,13818.981944921432,0.81
8.200000000000001,1.799999999999999,13818.979113540898,0.8200000000000001
8.3,1.6999999999999993,13818.97626876688,0.8300000000000001
8.4,1.5999999999999996,13818.97341082484,0.84
8.5,1.5,13818.970539942555,0.85
8.6,1.4000000000000004,13818.967656350063,0.86
8.700000000000001,1.299999999999999,13818.964760279807,0.8700000000000001
8.8,1.1999999999999993,13818.961851966937,0.88
8.9,1.0999999999999996,13818.958931649202,0.89
9.0,1.0,13818.955999567268,0.8999999999999999
9.1,0.9000000000000004,13818.953055964786,0.9099999999999999
9.200000000000001,0.7999999999999989,13818.950101088632,0.92
9.3,0.6999999999999993,13818.947135188877,0.93
9.4,0.5999999999999996,13818.944158519127,0.94
9.5,0.5,13818.94117133656,0.95
9.600000000000001,0.3999999999999986,13818.938173902261,0.9600000000000001
9.700000000000001,0.29999999999999893,13818.935166481075,0.9700000000000002
9.8,0.1999999999999993,13818.932149342108,0.9800000000000001
9.9,0.09999999999999964,13818.929122758707,0.99
10.0,0.0,13818.926087008791,1.0
