b01,b02,payoff,xs
10.0,10.0,1150.9186246873905,0.5
0.0,20.0,1150.5894520072256,0.0
0.1,19.9,1150.595621123101,0.0049999999999917576
0.2,19.8,1150.6017449640146,0.010000000000001279
0.30000000000000004,19.7,1150.6078229456334,0.014999999999998959
0.4,19.6,1150.6138544919413,0.020000000000002557
0.5,19.5,1150.619839035366,0.025
0.6000000000000001,19.4,1150.6257760168817,0.0299999999999991
0.7000000000000001,19.3,1150.631664886092,0.03500000000000016
0.8,19.2,1150.637505101289,0.039999999999999786
0.9,19.1,1150.6432961295022,0.04500000000000082
1.0,19.0,1150.6490374465222,0.05
1.1,18.9,1150.6547285369209,0.05499999999999912
1.2000000000000002,18.8,1150.660368894048,0.060000000000000574
1.3,18.7,1150.665958020024,0.06499999999999997
1.4000000000000001,18.6,1150.6714954257168,0.07000000000000033
1.5,18.5,1150.6769806307123,0.075
1.6,18.4,1150.682413163275,0.07999999999999957
1.7000000000000002,18.3,1150.687792560298,0.08500000000000031
1.8,18.2,1150.693118367252,0.08999999999999966
1.9000000000000001,18.1,1150.6983901381218,0.09500000000000047
2.0,18.0,1150.7036074353437,0.1
2.1,17.9,1150.708769829731,0.1049999999999998
2.2,17.8,1150.7138769004,0.11000000000000017
2.3000000000000003,17.7,1150.718928234692,0.1149999999999998
2.4000000000000004,17.6,1150.7239234280896,0.12000000000000025
2.5,17.5,1150.728862084131,0.125
2.6,17.4,1150.7337438143263,0.1299999999999997
2.7,17.3,1150.7385682380605,0.1350000000000001
2.8000000000000003,17.2,1150.74333498251,0.1399999999999999
2.9000000000000004,17.1,1150.748043682545,0.14500000000000013
3.0,17.0,1150.752693980637,0.15
3.1,16.9,1150.7572855267647,0.1549999999999998
3.2,16.8,1150.7618179783174,0.16000000000000003
3.3000000000000003,16.7,1150.766291,0.16499999999999995
3.4000000000000004,16.6,1150.77070426374,0.17000000000000023
3.5,16.5,1150.7750574485879,0.175
3.6,16.4,1150.779350240622,0.1799999999999999
3.7,16.3,1150.7835823328567,0.185
3.8000000000000003,16.2,1150.7877534251452,0.19
3.9000000000000004,16.1,1150.7918632240853,0.19500000000000012
4.0,16.0,1150.795911442928,0.2
4.1000000000000005,15.899999999999999,1150.799897801483,0.20499999999999985
4.2,15.8,1150.80382202603,0.21000000000000005
4.3,15.7,1150.807683849223,0.2149999999999999
4.4,15.6,1150.8114830100071,0.21999999999999995
4.5,15.5,1150.815219253529,0.22499999999999998
4.6000000000000005,15.399999999999999,1150.8188923310445,0.22999999999999993
4.7,15.3,1150.8225019998404,0.2350000000000001
4.800000000000001,15.2,1150.826048023144,0.24
4.9,15.1,1150.8295301700457,0.24499999999999997
5.0,15.0,1150.8329482154124,0.25
5.1000000000000005,14.899999999999999,1150.83630193981,0.2549999999999999
5.2,14.8,1150.8395911294244,0.26000000000000006
5.300000000000001,14.7,1150.8428155759834,0.26499999999999996
5.4,14.6,1150.8459750766833,0.27
5.5,14.5,1150.8490694341126,0.27499999999999997
5.6000000000000005,14.399999999999999,1150.8520984561783,0.2799999999999999
5.7,14.3,1150.8550619560413,0.28500000000000003
5.800000000000001,14.2,1150.8579597520377,0.29
5.9,14.1,1150.8607916676192,0.295
6.0,14.0,1150.8635575312835,0.3
6.1000000000000005,13.899999999999999,1150.866257176508,0.3049999999999999
6.2,13.8,1150.868890441692,0.31000000000000005
6.300000000000001,13.7,1150.871457170088,0.31499999999999995
6.4,13.6,1150.873957209749,0.32
6.5,13.5,1150.8763904134685,0.32499999999999996
6.6000000000000005,13.399999999999999,1150.8787566387205,0.32999999999999996
6.7,13.3,1150.8810557476104,0.335
6.800000000000001,13.2,1150.883287606815,0.33999999999999997
