b01,b02,payoff,xs
10.00017199931744,19.999828000682562,2499.5254582935727,0.33333906664391455
0.0,30.0,2498.663055353558,0.0
0.1,29.9,2498.6716711209583,0.0033333333333231013
0.2,29.8,2498.6802581527586,0.006666666666669888
0.30000000000000004,29.7,2498.6888167030766,0.009999999999997726
0.4,29.6,2498.6973470181647,0.01333333333333504
0.5,29.5,2498.70584933663,0.016666666666666666
0.6000000000000001,29.4,2498.714323889656,0.019999999999998613
0.7000000000000001,29.3,2498.722770901229,0.023333333333333442
0.8,29.2,2498.731190588329,0.026666666666666523
0.9,29.1,2498.7395831611484,0.030000000000000547
1.0,29.0,2498.7479488232775,0.03333333333333333
1.1,28.9,2498.756287771902,0.03666666666666608
1.2000000000000002,28.8,2498.764600197983,0.04000000000000038
1.3,28.7,2498.7728862864387,0.04333333333333295
1.4000000000000001,28.6,2498.781146216321,0.046666666666666884
1.5,28.5,2498.789380160967,0.049999999999999996
1.6,28.4,2498.797588288199,0.053333333333333045
1.7000000000000002,28.3,2498.805770760439,0.05666666666666661
1.8,28.2,2498.8139277349005,0.06000000000000004
1.9000000000000001,28.1,2498.822059363707,0.06333333333333388
2.0,28.0,2498.8301657940624,0.06666666666666667
2.1,27.9,2498.838247168372,0.06999999999999987
2.2,27.8,2498.846303624391,0.07333333333333344
2.3000000000000003,27.7,2498.8543352953516,0.07666666666666654
2.4000000000000004,27.6,2498.862342310089,0.08000000000000036
2.5,27.5,2498.8703247931685,0.08333333333333333
2.6,27.4,2498.8782828650083,0.08666666666666627
2.7,27.3,2498.8862166419885,0.09000000000000023
2.8000000000000003,27.2,2498.894126236575,0.09333333333333309
2.9000000000000004,27.1,2498.90201175742,0.09666666666666691
3.0,27.0,2498.909873309468,0.09999999999999999
3.1,26.9,2498.917710994075,0.10333333333333307
3.2,26.8,2498.9255249090847,0.10666666666666669
3.3000000000000003,26.7,2498.933315148939,0.10999999999999997
3.4000000000000004,26.6,2498.9410818047772,0.11333333333333348
3.5,26.5,2498.9488249645133,0.11666666666666667
3.6,26.4,2498.9565447129385,0.11999999999999982
3.7,26.3,2498.9642411317964,0.12333333333333346
3.8000000000000003,26.2,2498.9719142998697,0.12666666666666654
3.9000000000000004,26.1,2498.9795642930612,0.13000000000000006
4.0,26.0,2498.9871911844734,0.13333333333333333
4.1000000000000005,25.9,2498.9947950444835,0.13666666666666655
4.2,25.8,2499.0023759408173,0.13999999999999996
4.3,25.7,2499.0099339386143,0.14333333333333334
4.4,25.6,2499.0174691005045,0.1466666666666669
4.5,25.5,2499.0249814866747,0.15
4.6000000000000005,25.4,2499.0324711549315,0.15333333333333327
4.7,25.3,2499.03993816076,0.15666666666666673
4.800000000000001,25.2,2499.047382557391,0.15999999999999995
4.9,25.1,2499.0548043958624,0.1633333333333335
5.0,25.0,2499.062203725063,0.16666666666666666
5.1000000000000005,24.9,2499.069580591807,0.16999999999999982
5.2,24.8,2499.076935040869,0.17333333333333348
5.300000000000001,24.7,2499.0842671150517,0.17666666666666656
5.4,24.6,2499.0915768552245,0.18000000000000013
