b01,b02,payoff,xs
6.192874682673637,3.807125317326364,137.80659785941546,0.6192874682673636
0.0,10.0,136.99642273763513,0.0
0.1,9.9,137.0238414384231,0.010000000000001279
0.2,9.8,137.05069723197164,0.020000000000002557
0.30000000000000004,9.7,137.07699606855877,0.0299999999999991
0.4,9.6,137.1027437829619,0.039999999999999786
0.5,9.5,137.1279460971957,0.05
0.6000000000000001,9.4,137.15260862318038,0.060000000000000574
0.7000000000000001,9.3,137.1767368653423,0.07000000000000033
0.8,9.2,137.20033622314875,0.07999999999999957
0.9,9.1,137.22341199357885,0.08999999999999966
1.0,9.0,137.2459693735322,0.1
1.1,8.9,137.2680134621768,0.11000000000000017
1.2000000000000002,8.8,137.28954926323854,0.12000000000000025
1.3,8.7,137.31058168723334,0.1299999999999997
1.4000000000000001,8.6,137.33111555364374,0.1399999999999999
1.5,8.5,137.3511555930417,0.15
1.6,8.4,137.37070644915912,0.16000000000000003
1.7000000000000002,8.3,137.3897726809069,0.17000000000000023
1.8,8.2,137.4083587643454,0.1799999999999999
1.9000000000000001,8.1,137.42646909460635,0.19
2.0,8.0,137.44410798776823,0.2
2.1,7.9,137.4612796826869,0.21000000000000005
2.2,7.8,137.47798834278157,0.21999999999999995
2.3000000000000003,7.699999999999999,137.49423805777894,0.22999999999999993
2.4000000000000004,7.6,137.5100328454155,0.24
2.5,7.5,137.52537665309995,0.25
2.6,7.4,137.54027335953654,0.26000000000000006
2.7,7.3,137.55472677631087,0.27
2.8000000000000003,7.199999999999999,137.56874064943887,0.2799999999999999
2.9000000000000004,7.1,137.5823186608803,0.29
3.0,7.0,137.59546443001807,0.3
3.1,6.9,137.60818151510352,0.31000000000000005
3.2,6.8,137.6204734146701,0.32
3.3000000000000003,6.699999999999999,137.632343568915,0.32999999999999996
3.4000000000000004,6.6,137.6437953610506,0.33999999999999997
3.5,6.5,137.6548321186265,0.35
3.6,6.4,137.66545711482271,0.36000000000000004
3.7,6.3,137.6756735697153,0.37
3.8000000000000003,6.199999999999999,137.6854846515149,0.38000000000000006
3.9000000000000004,6.1,137.69489347777966,0.38999999999999996
4.0,6.0,137.70390311660248,0.4
4.1000000000000005,5.8999999999999995,137.71251658777382,0.41000000000000014
4.2,5.8,137.72073686392142,0.42
4.3,5.7,137.7285668716262,0.43
4.4,5.6,137.73600949251667,0.44
4.5,5.5,137.74306756434132,0.44999999999999996
4.6000000000000005,5.3999999999999995,137.74974388202034,0.46
4.7,5.3,137.75604119867734,0.47
4.800000000000001,5.199999999999999,137.76196222665104,0.48000000000000004
4.9,5.1,137.76750963848835,0.49000000000000005
5.0,5.0,137.77268606791898,0.5
5.1000000000000005,4.8999999999999995,137.77749411081226,0.51
5.2,4.8,137.78193632611666,0.5199999999999999
5.300000000000001,4.699999999999999,137.78601523678276,0.53
5.4,4.6,137.78973333066978,0.54
5.5,4.5,137.7930930614366,0.5499999999999999
5.6000000000000005,4.3999999999999995,137.79609684941744,0.56
5.7,4.3,137.79874708248283,0.57
5.800000000000001,4.199999999999999,137.80104611688614,0.5800000000000001
5.9,4.1,137.80299627809626,0.59
6.0,4.0,137.80459986161668,0.6
6.1000000000000005,3.8999999999999995,137.8058591337913,0.61
6.2,3.8,137.8067763325975,0.62
6.300000000000001,3.6999999999999993,137.80735366842688,0.6300000000000001
6.4,3.5999999999999996,137.80759332485326,0.64
6.5,3.5,137.80749745938937,0.6499999999999999
6.6000000000000005,3.3999999999999995,137.8070682042313,0.66
6.7,3.3,137.80630766699198,0.67
6.800000000000001,3.1999999999999993,137.805217931423,0.68
6.9,3.0999999999999996,137.80380105812554,0.69
7.0,3.0,137.80205908525053,0.7
7.1000000000000005,2.8999999999999995,137.79999402918753,0.7100000000000001
7.2,2.8,137.79760788524337,0.72
7.300000000000001,2.6999999999999993,137.79490262830967,0.7300000000000001
7.4,2.5999999999999996,137.79188021352005,0.74
7.5,2.5,137.78854257689642,0.75
7.6000000000000005,2.3999999999999995,137.7848916359846,0.76
7.7,2.3,137.78092929047912,0.7699999999999999
7.800000000000001,2.1999999999999993,137.77665742283673,0.78
7.9,2.0999999999999996,137.77207789887913,0.79
8.0,2.0,137.76719256838416,0.8
8.1,1.9000000000000004,137.76200326566493,0.81
8.200000000000001,1.799999999999999,137.75651181013714,0.8200000000000001
8.3,1.6999999999999993,137.75072000687408,0.8300000000000001
8.4,1.5999999999999996,137.74462964714832,0.84
8.5,1.5,137.73824250895984,0.85
8.6,1.4000000000000004,137.73156035755056,0.86
8.700000000000001,1.299999999999999,137.72458494590344,0.8700000000000001
8.8,1.1999999999999993,137.71731801522625,0.88
8.9,1.0999999999999996,137.70976129541904,0.89
9.0,1.0,137.7019165055238,0.8999999999999999
9.1,0.9000000000000004,137.69378535415578,0.9099999999999999
9.200000000000001,0.7999999999999989,137.68536953991554,0.92
9.3,0.6999999999999993,137.6766707517791,0.93
9.4,0.5999999999999996,137.66769066946674,0.94
9.5,0.5,137.65843096378694,0.95
9.600000000000001,0.3999999999999986,137.64889329695544,0.9600000000000001
9.700000000000001,0.29999999999999893,137.63907932288615,0.9700000000000002
9.8,0.1999999999999993,137.6289906874528,0.9800000000000001
9.9,0.09999999999999964,137.61862902871883,0.99
10.0,0.0,137.60799597713293,1.0
